event,Mz,chi,f_obs,tau_obs,f_gr,tau_gr,d_f,d_t,s_df,s_dt
GW150914,71.6,0.76,254.6,0.00451,254.11599333375054,0.004499122136753199,0.001904668257592793,0.0024177746049478767,0.20215609481281707,0.2923722550648386
GW170104,69.4,0.84,287.8,0.0047,285.03189305636613,0.00473531389011556,0.00971156916495123,-0.007457560561987993,0.5651097358808195,0.8113368706186769
GW190519_153544,155.5,0.81,123.6,0.01033,122.95131560415253,0.0102244346422664,0.00527594513861029,0.010324811241612055,0.28606353028732284,0.42177915629718504
GW190521_074359,86.4,0.73,204.6,0.00532,205.07000018742744,0.005318953852388542,-0.0022919012385911137,0.00019668296444952236,0.23207749281400264,0.3182106664830394
GW190630_185205,65.7,0.62,247.0,0.00386,247.99461708859127,0.0038495918201887367,-0.004010639828669997,0.0027037099769069,0.5553942483883333,0.6916155033133005
GW190828_063405,83.1,0.89,254.3,0.00622,254.8163253407229,0.006206033203312651,-0.002026264761617968,0.0022505191689747204,0.30821223383083735,0.5624816886922301
GW190910_112807,123.5,0.9,174.2,0.009519999999999999,174.24450366556775,0.009455526840818164,-0.0002554092934442102,0.006818568681283161,0.19608343814983706,0.39612318975553984
GW191109_010717,170.4,0.94,136.6,0.015090000000000001,136.6913574532751,0.015079450157946261,-0.0006683484236106352,0.0006996171573391367,0.17576034354503983,0.2848873576640657
GW200129_065458,74.2,0.76,246.4,0.00468,245.2116593355328,0.004662498080266585,0.0048461833653723274,0.0037537644910760424,0.19955284046424931,0.270916648830429
GW200208_130117,71.5,0.9999,460.7,0.01825,530.181914955537,0.08481508413521976,-0.13105297067962793,-0.7848260107729867,87.20615515196128,1029.9814673966387
GW200224_222234,101.6,0.85,196.1,0.007,197.10788430072216,0.00703471423473766,-0.005113363700786652,-0.00493470432192394,0.19462273759525386,0.33154104482168334
GW200311_115853,75.3,0.76,241.8,0.00472,241.62955010221165,0.004731618671753015,0.0007054182640999698,-0.00245553848672896,0.32117598791190916,0.4381277172010887
